district,name,location,taluk,village,status,contacts,facilities_available,total_people,total_males,total_females,total_infants,food_req,clothing_req,sanitary_req,medical_req,other_req
tcr,"Madrasa, Cheruchenam",,Thrissur,Cherpu,active,,,480,280,200,120,,,,,
tcr,"GJBS, Padinjattumuri",,Thrissur,Cherpu,active,,,318,,,,,,,,
tcr,Urakam Ammathiruvadi Temple,,Thrissur,Urakam,active,,,110,51,40,14,,,,,
tcr,"Mali Hall, Mavinchuvadu",,Thrissur,Urakam,active,,,147,79,42,26,,,,,
tcr,"CMS LPS, Urakam",,Thrissur,Urakam,active,,,181,86,95,32,,,,,
tcr,"KLUPS, Peruvanam",,Thrissur,Urakam,active,,,87,39,36,12,,,,,
tcr,CNN Girls High School,,Thrissur,Cherpu,active,,,,,,,,,,,
tcr,CNN Boys High School,,Thrissur,Cherpu,active,,,,,,,,,,,
tcr,"Vamsons Hall, Cherpu",,Thrissur,Cherpu,active,,,100,36,43,21,,,,,
tcr,"GVHSE, Cherpu",,Thrissur,Cherpu,active,,,413,,,,,,,,
ekm,Grace Public School,"Grace Public School
Edavanakad",KOCHI,EDAVANAKAD,active,9496045770,"light, kitchen, toilets",708,265,289,154,Available,Available,Available,Available,Available
ekm,SP Sabha School,"SP Sabha School
Edavanakad",KOCHI,EDAVANAKAD,active,9496045770,"light, kitchen, toilets etc",1409,492,585,332,Available,Available,Available,Available,Available
ekm,SP Sabha School,"SP Sabha School
Edavanakad",KOCHI,EDAVANAKAD,active,9496045770,"light, kitchen, toilets etc",1409,492,585,332,Available,Available,Available,Available,Available
ekm,S N Auditorium,S N Auditorium,KOCHI,EDAVANAKAD,active,9496045770,"light, kitchen, toilets etc",1332,468,696,168,Available,Available,Available,Available,Available
ekm,Badariyya Madrassa,"Badariyya Madrassa
Edavanakad",KOCHI,EDAVANAKAD,active,9496045770,"light, kitchen, toilets",339,128,127,84,Available,Available,Available,Available,Available
ekm,ST.Ambrose School,ST.Ambrose School,KOCHI,EDAVANAKAD,active,9496045770,"light, kitchen, toilets",3418,1190,1684,544,Available,Available,Available,Available,Available
ekm,SDPY KPMHS,"SDPY KPMHS
Edavanakad",KOCHI,EDAVANAKAD,active,9496045770,"light, kitchen, toilets",1776,765,811,200,Available,Available,Available,Available,Available
ekm,Madarassathul Falahiya,Madarassathul Falahiya,KOCHI,EDAVANAKAD,active,9496045770,"light, kitchen, toilets",2312,818,1148,346,Available,Available,Available,Available,Available
ekm,HIHSS Edavanakad,"HIHSS Edavanakad
Edavanakad",KOCHI,EDAVANAKAD,active,9496045770,"light, kitchen, toilets",2225,1042,1148,635,Available,Available,Available,Available,Available
tcr,GVHSS Kadappuram,"GVHSS Kadappuram

Anjamgadi",Chavakkad,KAdappuram,active,,,,,,,,,,,
ktm,A K M School Morkulangara,A K M School Morkulangara              Vazhappally Kizhakku,Changanacherry,Vazhappally Kizhakku,active,8547612304,,189,79,84,26,,,,,
tcr,V R Puram GHS,"Government VHS
V R Puram
V R Puram P O
Chalakudy
Thrissur",Chalakudy,Perambra,active,"Municipal Secretary : 9496141437
Shibu Valappan Municipal Councilor : 9846588605","Food,Toilet,cloth,kitchen light",1200,635,565,30,yes,yes,yes,yes,yes
ekm,GUPS EDAVANAKAD,,KOCHI,EDAVANAKAD,active,,,809,327,342,14,Available,Available,Available,Available,Available
tcr,Nasrathul Islam Madrasa,"Nasrathul Islam Madrasa Yatheemghana

Anjamgadi",Chavakkad,KAdappuram,active,,,,,,,,,,,
ekm,GUPS EDAVANAKAD,"GUPS EDAVANAKAD
EDAVANAKAD",KOCHI,EDAVANAKAD,active,,"light, kitchen, toilets",,,,,Available,Available,Available,Available,Available
ekm,"TALENT PAUBLIC SCHOOL,NJARAKKAL",NJARAKKAL-682505,KOCHI,NJARAKKAL,closed,MINI DILEEP-9562141441,,160,85,70,5,,,,,
tcr,Urubankunnu Communitty Hall Chalakudy,"Urabankunnu
Potta P O
Chalakudy
Thrissur
Pin:608722",Chalakudy,Potta,closed,"Municipal Secretary : 9496141437
Chairperson : 8075804742","light,toilet,food,cloth",102,54,45,3,yes,yes,yes,yes,
ekm,"ST.MARYS U.P SCHOOL,NJARAKKAL",NJARAKKAL-682505,KOCHI,NJARAKKAL,closed,SAJU MENACHERY-9020209091,,1060,570,480,10,,,,,
ekm,"ST.JOSEPH PUBLIC SCHOOL,NJARAKKAL",NARAKKAL-682505,KOCHI,NJARAKKAL,closed,MINI RAJU-9567010721,,408,177,215,16,,,,,
ptm,Vengal Devamatha Auditorium,Vengal Devamatha Auditorium,Thiruvalla,Kavumbhagam,active,,,160,,,,,,,,
ekm,പ്രയാഗ കോളേജ്,"പ്രയാഗ കോളേജ്, നായരമ്പലം പി.ഒ , 682509",കൊച്ചി,നായരമ്പലം,closed,,,,,,,ലഭ്യമാക്കിയിട്ടുണ്ട്,ലഭ്യമാക്കിയിട്ടുണ്ട്,ലഭ്യമാക്കിയിട്ടുണ്ട്,ലഭ്യമാക്കിയിട്ടുണ്ട്,
ptm,Paliyekkarapally,Paliyekkarapally,Thiruvalla,Kavumbhagam,active,,,170,,,,,,,,
ekm,ഭഗവതി വിലാസം സ്കൂള്‍,"ഭഗവതി വിലാസം സ്കൂള്‍, നായരമ്പലം പി.ഒ, 682509",കൊച്ചി,നായരമ്പലം,active,,എല്ലാവിധ അടിസ്ഥാന സൌകര്യങ്ങളും ലഭ്യമാക്കിയിട്ടുണ്ട്,,,,,ലഭ്യമാക്കിയിട്ടുണ്ട്,ലഭ്യമാക്കിയിട്ടുണ്ട്,ലഭ്യമാക്കിയിട്ടുണ്ട്,ലഭ്യമാക്കിയിട്ടുണ്ട്,
ptm,SCS HSS,SCS HSS,Thiruvalla,Kavumbhagam,active,,,170,,,,,,,,
ptm,MGMHSS Thiruvalla,MGMHSS Thiruvalla,Thiruvalla,Kavumbhagam,active,,,170,,,,,,,,
ptm,"GHSS,Kavumbhagom","GHSS,Kavumbhagom",Thiruvalla,Kavumbhagam,active,,,165,,,,,,,,
